日期,时间,股票代码,股票名称,买卖方向,成交数量,成交均价,成交金额,佣金,其他费用,印花税,过户费
2026-03-13,10:59:54,600016,民生银行,卖出,10200,4.0,40800.0,7.99,2.21,20.4,0.41
2026-02-24,10:17:47,600016,民生银行,买入,1700,3.9,6630.0,4.64,0.36,0.0,0.06
2026-02-13,09:44:57,600016,民生银行,买入,9400,3.94,37036.0,7.26,2.0,0.0,0.37
2026-02-11,14:27:33,600016,民生银行,卖出,5400,4.01,21654.0,4.24,1.17,10.83,0.22
2026-02-10,10:27:34,600016,民生银行,卖出,5600,3.95,22120.0,4.34,1.19,11.06,0.22
2025-12-11,09:50:05,600016,民生银行,买入,5600,3.93,22008.0,4.31,1.19,0.0,0.22
2025-12-10,09:43:42,600016,民生银行,买入,5400,3.97,21438.0,4.2,1.16,0.0,0.22
2025-12-08,09:57:25,000725,京东方Ａ,卖出,10300,4.24,43672.0,8.12,2.8,21.84,0.0
2025-12-02,10:26:46,000725,京东方Ａ,买入,10300,3.89,40067.0,7.45,2.57,0.0,0.0
2025-12-01,10:16:34,600016,民生银行,卖出,9700,4.13,40061.0,7.85,2.17,20.03,0.4
2025-12-01,09:41:27,600016,民生银行,买入,9400,4.1,38540.0,7.56,2.08,0.0,0.38
2025-11-28,11:05:21,601000,唐山港,卖出,10000,3.84,38400.0,7.53,2.07,19.2,0.38
2025-11-28,10:17:10,600016,民生银行,买入,4600,4.09,18814.0,3.98,1.02,0.0,0.19
2025-11-27,11:02:25,600016,民生银行,卖出,4600,4.12,18952.0,3.97,1.03,9.48,0.19
2025-11-26,10:59:06,600016,民生银行,买入,5100,4.09,20859.0,4.09,1.12,0.0,0.22
2025-11-26,09:33:13,601000,唐山港,买入,5000,3.89,19450.0,3.95,1.05,0.0,0.19
2025-11-18,10:25:53,601000,唐山港,买入,5000,4.0,20000.0,3.9,1.1,0.0,0.18
2025-11-05,11:19:52,600016,民生银行,买入,2300,4.03,9269.0,4.49,0.51,0.0,0.09
2025-11-04,11:12:38,600016,民生银行,买入,2300,4.04,9292.0,4.49,0.51,0.0,0.09
