日期,主体ID,主体类型,主体名称,展现量,点击量,花费,点击率,平均点击花费,总成交金额,总成交笔数,点击转化率,总购物车数,收藏宝贝数,收藏店铺数,总收藏数,宝贝收藏成本
2026-03-13,555519041535,短视频,可爱家居,115,3,5.75,0.02609,1.92,0.00,0,0,1,0,0,0,
2026-03-13,555458610849,短视频,奶油风的家,161,3,5.16,0.01863,1.72,0.00,0,0,0,0,0,0,
2026-03-13,555458290062,短视频,沙发垫的正确打开方式,194,8,8.31,0.04124,1.04,0.00,0,0,0,0,0,0,
2026-03-13,555372737835,短视频,"黑白配的家,太高级了!",25,1,0.12,0.04,0.12,0.00,0,0,0,0,0,0,
2026-03-13,555372621340,短视频,高级感黑白灰客厅搭配,100,2,5.17,0.02,2.59,0.00,0,0,1,0,0,0,
2026-03-13,555312322684,短视频,抱枕的颜值真的太高了!,40,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,555306753035,短视频,沉浸式宅家\|我的古风小家,280,7,6.69,0.025,0.96,0.00,0,0,0,0,0,0,
2026-03-13,555293096238,短视频,侘寂风家里的野性点缀！黑白斑马毛巾绣抱枕，温柔中带点不羁,126,2,0.22,0.01587,0.11,0.00,0,0,0,0,0,0,
2026-03-13,555286652862,短视频,小众设计感艺术抱枕，为颜控而生，怎么搭都好看 ?,132,2,8.86,0.01515,4.43,0.00,0,0,2,0,0,0,
2026-03-13,555286004078,短视频,"黑白灰的家,太有氛围了",63,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,555175200204,短视频,抱枕的颜值真的太高了!,266,12,28.30,0.04511,2.36,0.00,0,0,3,0,0,0,
2026-03-13,555126645572,短视频,这也太犯规了！蛋糕宝宝毛巾绣抱枕萌到爆炸，少女心收割机,28,1,0.41,0.03571,0.41,0.00,0,0,0,0,0,0,
2026-03-13,555125925749,短视频,复古又高级！毛茸茸挂耳狗抱枕，治愈系天花板！?,25,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,555119213859,短视频,"中古风的家,太爱了!",32,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,555064662823,短视频,艺术生的私藏！手绘感抽象线条抱枕，每一根线条都长在审美点上,79,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,555059874294,短视频,一眼心动！韩系ins风向日葵抱枕，氛围感绝了,553,15,25.64,0.02712,1.71,158.00,4,0.26667,10,0,0,0,
2026-03-13,555007321455,短视频,黑白灰极简客厅布置,113,2,3.75,0.0177,1.88,0.00,0,0,0,0,0,0,
2026-03-13,554950138297,短视频,"黑白配,永远的经典",44,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,554926163106,短视频,氛围感家居,135,4,1.32,0.02963,0.33,0.00,0,0,0,0,0,0,
2026-03-13,554817151105,短视频,法式轻奢香风客厅沙发抱枕,67,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,554057120348,短视频,"黑白灰的家,太有氛围了",134,5,8.47,0.03731,1.69,0.00,0,0,2,0,0,0,
2026-03-13,553732269147,短视频,"复古风的家,太爱了!",144,5,3.25,0.03472,0.65,0.00,0,0,0,0,0,0,
2026-03-13,553375677357,短视频,靠它,924,38,70.24,0.04113,1.85,0.00,0,0,11,0,0,0,
2026-03-13,553306503958,短视频,治愈系小家!,147,4,6.10,0.02721,1.53,0.00,0,0,0,0,0,0,
2026-03-13,553203143361,短视频,日光下的舒适,118,3,2.88,0.02542,0.96,271.56,2,0.66667,0,0,0,0,
2026-03-13,553202691374,短视频,温暖的家可靠的它,27,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,553097912376,短视频,居家放松\|我的卧室我做主,224,6,10.35,0.02679,1.73,0.00,0,0,1,0,0,0,
2026-03-13,552764607058,短视频,一眼惊艳的抱枕,5,0,0.00,0,,0.00,0,,0,0,0,0,
2026-03-13,552740205709,短视频,摸摸，轻飘柔顺,162,6,8.57,0.03704,1.43,0.00,0,0,1,0,0,0,
