# 中国天气网城市代码映射表
# 格式：城市名,代码

北京,101010100
上海,101020100
广州,101280101
深圳,101280601
成都,101270101
杭州,101210101
南京,101190101
武汉,101200101
西安,101110101
重庆,101040100
天津,101030100
沈阳,101070101
哈尔滨,101050101
长春,101060101
济南,101120101
青岛,101120201
郑州,101180101
长沙,101250101
南昌,101240101
福州,101230101
厦门,101230201
南宁,101300101
海口,101310101
三亚,101310201
贵阳,101260101
昆明,101290101
兰州,101160101
银川,101170101
西宁,101150101
拉萨,101140101
乌鲁木齐,101130101
石家庄,101090101
太原,101100101
呼和浩特,101080101
大连,101070201
苏州,101190401
无锡,101190201
宁波,101210401
温州,101210701
绍兴,101210601
金华,101210901
台州,101211101
嘉兴,101210301
湖州,101210201
衢州,101211001
丽水,101211201
舟山,101211301
东莞,101281901
佛山,101281701
珠海,101280701
中山,101281801
惠州,101280301
江门,101280603
肇庆,101280901
湛江,101281001
茂名,101281101
汕头,101280401
揭阳,101281401
潮州,101281201
韶关,101280201
清远,101281301
河源,101280801
梅州,101281002
汕尾,101281502
阳江,101281602
云浮,101281002
